date,content,tags,like,url,no,video
2021-04-16,⠀#믿거나말거나재미로만 보는 #관상 ⠀복을 부르는👂귀는 따로 있을까요?귀 모양에 따라 관상도 달라진다는데..다들 앞에 거울 준비하시고!귀에 대한 관상을 파헤쳐 봐요 👀⠀여러분은 👉👈 몇번에 해당되시나요?⠀⠀#오늘의운세 #귀 #귀관상 #복을부르는관상#귓볼 #칼귀 #둥근귀 #부처귀 #타로점#kb국민은행,"['#믿거나말거나재미로만', '#관상', '#오늘의운세', '#귀', '#귀관상', '#복을부르는관상', '#귓볼', '#칼귀', '#둥근귀', '#부처귀', '#타로점', '#kb국민은행']",260,https://www.instagram.com/p/CNtZUWbBRPd,CNtZUWbBRPd,0.0
2021-04-07,⠀아름다운 봄시가 떠오르는 포근한 날이네요.🌸따뜻한 시로 봄을 맞이해보세요.⠀[봄길 – 정호승]⠀길이 끝나는 곳에서도길이 있다길이 끝나는 곳에서도길이 되는 사람이 있다⠀스스로 봄길이 되어끝없이 걸어가는 사람이 있다⠀강물은 흐르다 멈추고새들은 날아가 돌아오지 않고하늘과 땅 사이의 모든 꽃잎은 흩어져도⠀보라사랑이 끝나는 곳에서도사랑으로 남아 있는 사람이 있다스스로 사랑이 되어한없이 봄길을 걸어가는 사람이 있다⠀#KB국민은행 #캘리그라피 #KB글방 #봄 #정호승시인 #봄길 #시⠀,"['#KB국민은행', '#캘리그라피', '#KB글방', '#봄', '#정호승시인', '#봄길', '#시⠀']",285,https://www.instagram.com/p/CNWrLXgBdx9,CNWrLXgBdx9,0.0
2021-04-07,⠀🎉 #KB국민은행 #이벤트발표 #당첨자발표⠀⠀📌 이벤트 경품 : 스타벅스 달콤한 디저트세트(7 레이어 가나슈 케이크+아메리카노Tall 1잔)늘 곁에 더 가까이 #리그램 #이벤트 에참여해주신 모든분들께 감사드립니다❤⠀#늘곁에더가까이 #리그램이벤트 #감사합니다 #축하합니다⠀⠀,"['#KB국민은행', '#이벤트발표', '#당첨자발표⠀⠀📌', '#리그램', '#이벤트', '#늘곁에더가까이', '#리그램이벤트', '#감사합니다', '#축하합니다⠀⠀']",380,https://www.instagram.com/p/CNWR47cBf8Y,CNWR47cBf8Y,0.0
2021-04-01,⠀KB국민은행 눈빛송금 출시! 👀⚡⠀눈빛발사 한 번이면 이체부터 송금까지 간편하게-찾아 뵙기 힘든 부모님 용돈도 눈빛 한 번으로!비즈-니스 할 때 복잡한 거래도 눈빛 한 번으로!⠀손가락 움직이기도 귀찮은 #바쁜_현대인이제는 눈빛 하나로 모든 걸 해결하세요!🚫주의 : 눈알 굴리기 개인기 금지돈 주기 싫다고 눈 감기 금지⠀※ 이 상품은 만우절 장난 상품입니다.※ 상품에 대한 자세한 설명은 그 어디에서도 찾을 수 없습니다.⠀#KB국민은행 #만우절 #눈빛송금 #나왔으면좋겠어요⠀,"['#바쁜_현대인이제는', '#KB국민은행', '#만우절', '#눈빛송금', '#나왔으면좋겠어요⠀']",2217,https://www.instagram.com/p/CNG_FlqhIW2,CNG_FlqhIW2,1.0
2021-04-01,⠀[KB국민은행] 목걸이✨단독출시플렉스 FLEX 💲💲해버렸지 뭐야?💎⠀화려함과 럭셔리함이 돋보이는 체인목걸이!어떤 의상에도 잘 어울리는 디자인!✨순금(순도: 99.9%)⠀🎁#런칭기념 #선착순 10명에게#대기표 #후드티 와 #국민모자 #사은품 으로 드립니다.⠀참고로 KB대기표 후드티 입고 #은행 창구 방문 시대기 없이 #1순위 로 은행업무 가능합니다.⠀[💢주의사항]정식 판매처는 없습니다❌만우절 기념으로 장난쳤습니다😆😘PS. 이참에 하나 만들까..?⠀#만우절 #만우절특집 #거짓말이야#거짓말데이 #체인목걸이 #KB국민은행#플렉스 #FLEX⠀,"['#런칭기념', '#선착순', '#대기표', '#후드티', '#국민모자', '#사은품', '#은행', '#1순위', '#만우절', '#만우절특집', '#거짓말이야', '#거짓말데이', '#체인목걸이', '#KB국민은행', '#플렉스', '#FLEX⠀']",709,https://www.instagram.com/p/CNGxV_Ah4vK,CNGxV_Ah4vK,0.0
2021-03-30,⠀#별반장_외로움편날은 좋은데..나만 홀로 솔로 #SOLO 참 외롭고 술푸네…⠀우리의 별반장 고독을 만끽하고 있는 순간!!⠀울리는 진동…📞 발신인 #폐차 (a.k.a.전남친)받을까.. 말까..그것이 고민이로다! 👀우리의 별반장 과연 그녀는 전화를 받았을 것인가!⠀#전남친 #자니 #쏠로 #솔로 #외롭다 #남자친구 #생활고민 #솔로탈출 #할까말까 #kb국민은행 ⠀,"['#별반장_외로움편날은', '#SOLO', '#폐차', '#전남친', '#자니', '#쏠로', '#솔로', '#외롭다', '#남자친구', '#생활고민', '#솔로탈출', '#할까말까', '#kb국민은행']",2659,https://www.instagram.com/p/CNBnu8EhvL-,CNBnu8EhvL-,1.0
2021-03-26,⠀집에서 만드는 #홈라떼보기만 해도 달달한 #라떼 ☕ 한잔에#봄철 #춘곤증 이겨봐요!⠀⠀#KB국민은행 #커피 #라떼 #커피만들기#커피짤 #힐링영상 #커피선물 #피로회복⠀,"['#홈라떼보기만', '#라떼', '#봄철', '#춘곤증', '#KB국민은행', '#커피', '#라떼', '#커피만들기', '#커피짤', '#힐링영상', '#커피선물', '#피로회복⠀']",3138,https://www.instagram.com/p/CM30NHxHenj,CM30NHxHenj,1.0
2021-03-25,"⠀매일 빠짐없이 접하는 #마스크 인만큼마스크 필수 시대를 살아가고 있는데요!😖⠀#KF94 #KF80 #일회용마스크 에 대해더 자세히 관찰해보는 초접사👁🔍 시간 입니다!⠀요즘은 핸드폰은 잊더라도 #마스크 는꼭 챙기잖아요!봄이 오는 건 좋지만..#미세먼지 농도가 더욱 높아지는 #3월 #봄철⠀여전히 힘든 시기지만,개인위생을 더 철저하게 관리하여#코로나19 바이러스 확산 방지를 위해끝까지 방심하지 말고, 다 같이 노력해요! 🙏⠀최고의 백신은 #마스크 잖아요!⠀#KB국민은행 #코로나마스크#코로나19물러가라 #생활방역⠀","['#마스크', '#KF94', '#KF80', '#일회용마스크', '#마스크', '#미세먼지', '#3월', '#봄철⠀여전히', '#코로나19', '#마스크', '#KB국민은행', '#코로나마스크', '#코로나19물러가라', '#생활방역⠀']",264,https://www.instagram.com/p/CM0w8v5DDLE,CM0w8v5DDLE,0.0
2021-03-23,⠀#리그램 #EVENT 🎁‘늘 곁에 더 가까이’⠀📍참여 방법1. SNS 팔로워하기2. 이벤트 게시물 리그램 후 #해시태그 필수 입력#KB국민은행 #늘곁에더가까이⠀📍참여 기간2021.03.23(화) ~ 2021.03.31(수)⠀📍당첨자 발표2021.04.07(수) 25명 추첨⠀📍이벤트 상품스타벅스 달콤한 디저트세트(7 레이어 가나슈 케이크+아메리카노Tall 1잔)⠀KB국민은행은 언제나여러분 곁에 함께 하겠습니다.⠀#이벤트 #이벤트그램 #봄이벤트#리그램이벤트 #스타벅스쿠폰 #팔로워이벤트,"['#리그램', '#EVENT', '#해시태그', '#KB국민은행', '#늘곁에더가까이⠀📍참여', '#이벤트', '#이벤트그램', '#봄이벤트', '#리그램이벤트', '#스타벅스쿠폰', '#팔로워이벤트']",1041,https://www.instagram.com/p/CMvouJ4hOe1,CMvouJ4hOe1,0.0
2021-03-17,⠀#믿거나말거나재미로만 보는 #손금운 🖐⠀저는 모 아니면 도.. #원숭이손금 🐵 인데..⠀여러분의 손금은🖐 어떤가요?잠깐! 거기 손금 봐주는 척 하면서⠀#꽁냥꽁냥 거리는 커플들!!!#칭찬해 ♥⠀#오늘의운세 #손바닥 #손금 #타로점#삼지창손금 #M자형손금 #막쥔손금#부자손금 #KB국민은행⠀,"['#믿거나말거나재미로만', '#손금운', '#원숭이손금', '#꽁냥꽁냥', '#칭찬해', '#오늘의운세', '#손바닥', '#손금', '#타로점', '#삼지창손금', '#M자형손금', '#막쥔손금', '#부자손금', '#KB국민은행⠀']",577,https://www.instagram.com/p/CMgylEVjugO,CMgylEVjugO,0.0
2021-03-15,⠀20대 직장인 고민희씨는현재 #가면증후군을 앓고 있습니다.현 시대 20대 여성들이 가장 많이 앓고 있다는 가면증후군실패에 대한 두려움.. 또는 불편한 주변시선 등으로자신을 보호하기 위한 장치가 아닐까 싶은데요!⠀그 누구도 완벽한 사람은 없다는 걸 기억하세요!나약한 면이 노출되는 것도 두려워 마세요!⠀때로는 뻔뻔해질 필요도 있고주변의 시선을 신경쓰기 보다지금의 내 모습을 긍정적으로 바라보길 바라요내 스스로 나임을 증명하고 사랑해주세요.⠀#KB국민은행 은 여러분을 #응원합니다⠀⠀#자기계발 #심리극복 #스트레스 #불안감 #직장인공감#스마일마스크증후군 #일상 #직장인 #자신감 #사랑,"['#가면증후군을', '#KB국민은행', '#응원합니다⠀⠀', '#자기계발', '#심리극복', '#스트레스', '#불안감', '#직장인공감', '#스마일마스크증후군', '#일상', '#직장인', '#자신감', '#사랑']",486,https://www.instagram.com/p/CMbwjHdDvQJ,CMbwjHdDvQJ,0.0
