Table Names,F1-1,category,title,writer,date,hit,url,recommend,pdf_title,download
pdf테이블2.csv,426,산업분석,선박 수처리 시장의 부각과 국내 조선 기자재 산업의 수혜,장경석,2016-06-17,4321,/kbresearch/vitamin/reportView.do?vitaminId=1003306,"['인공지능 시대 새로운 성장 동력 HBM(고대역폭메모리)', '발전기 없는 발전소, 가상발전소(VPP)', '해상풍력, 풍력발전의 새로운 도전']",KB지식비타민_20160613_선박평형수(초안).pdf,다운완료
pdf테이블2.csv,427,거시/경제,BREXIT의 영국/EU 경제 및 외환시장 영향,김가현,2016-06-15,6878,/kbresearch/vitamin/reportView.do?vitaminId=1003305,"['코로나19 이후 주요국 고용과 경기회복 경로', '구매관리자지수의 이해와 활용 - 미국, 유럽, 중국의 예를 중심으로', '코로나19 이후 한국경제의 양극화 심화와 과제']",KB지식비타민_20160613_BREXIT의 영국 EU 경제 및 외환시장 영향 (최종).pdf,다운완료
pdf테이블2.csv,429,자본시장,대체거래시스템(ATS) 국내 도입 논의와 시사점,이윤재,2016-06-03,6332,/kbresearch/vitamin/reportView.do?vitaminId=1003299,"['팬데믹 이후 사이버 위험과 국내 사이버 보험상품의 이해', '위기의 국민연금', '알리바바그룹 「상호보(相互?)」의 구조와 의미']",KB지식비타민_20160601_대체거래시스템(ATS) 국내 도입 논의와 시사점.pdf,다운완료
pdf테이블2.csv,430,해외경제,중국 유동성 확대에도 실물경제는 부진,이정진,2016-06-01,4380,/kbresearch/vitamin/reportView.do?vitaminId=1003296,"['중국 그린본드 시장 현황과 향후 전망', '100년 기업 육성을 위한 일본 정부와 은행들의 노력', '중국, 한국과의 FTA를 통해 내다본 캄보디아의 앞날']",KB지식비타민_20160530_中 / 유동성 확대에도 실물경제는 부진_.pdf,다운완료
pdf테이블2.csv,431,해외경제,마이너스 금리 도입 현황과 쟁점,이승훈,2016-05-27,7548,/kbresearch/vitamin/reportView.do?vitaminId=1003295,"['중국 그린본드 시장 현황과 향후 전망', '100년 기업 육성을 위한 일본 정부와 은행들의 노력', '중국, 한국과의 FTA를 통해 내다본 캄보디아의 앞날']",KB지식비타민_20160525_마이너스 금리정책 도입 현황과 쟁점.pdf,다운완료
pdf테이블2.csv,432,부동산,"미래형 주거형태, 제로에너지 주택",손은경,2016-05-23,4744,/kbresearch/vitamin/reportView.do?vitaminId=1003294,"['주택 임대차 계약 후 필수 코스 전월세신고제', '주택인 듯 주택 아닌 주택 같은 오피스텔', '집값이 오르면 소비도 늘어날까?']",KB지식비타민_20160523_미래형주거형태 제로에너지주택.pdf,다운완료
pdf테이블2.csv,433,경영환경,간소한 혁신(Frugal Innovation)과 금융업의 대응,김예구,2016-05-20,7264,/kbresearch/vitamin/reportView.do?vitaminId=1003293,"['여성의 건강과 삶의 질을 높이는 기술, 펨테크', '금융, 범죄로부터 국민을 보호하라', '성과를 만드는 팀의 비밀, 심리적 안전감']",KB지식비타민_20160518_간소한 혁신(Frugal Innovation)과 금융업의 대응.pdf,다운완료
pdf테이블2.csv,434,기타,모바일 메신저의 챗봇(Chatbot) 도입과 시사점,강서진,2016-05-13,8145,/kbresearch/vitamin/reportView.do?vitaminId=1003286,"['벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라', '북한의 순환경제정책과 재자원화', '자가면역질환의 이해와 관리 방안']",KB지식비타민_20160516_모바일 메신저의 챗봇 도입과 시사점_최종.pdf,다운완료
pdf테이블2.csv,435,기타,"MOOC, IT기술과 교육의 융합",김동우,2016-05-11,5070,/kbresearch/vitamin/reportView.do?vitaminId=1003284,"['벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라', '북한의 순환경제정책과 재자원화', '자가면역질환의 이해와 관리 방안']",KB지식비타민_20160509_MOOC / IT기술과 교육의 융합.최종.pdf,다운완료
pdf테이블2.csv,436,부동산,중소형빌딩 시장 거래동향 및 리스크 요인 점검,서동한,2016-05-09,4369,/kbresearch/vitamin/reportView.do?vitaminId=1003283,"['주택 임대차 계약 후 필수 코스 전월세신고제', '주택인 듯 주택 아닌 주택 같은 오피스텔', '집값이 오르면 소비도 늘어날까?']",KB지식비타민_20160504_중소형빌딩 시장 거래동향 및 리스크 요인점검.pdf,다운완료
pdf테이블2.csv,437,경영환경,지난 10년 글로벌 은행의 국가별 수익성 변화,김주환,2016-05-04,5163,/kbresearch/vitamin/reportView.do?vitaminId=1003276,"['여성의 건강과 삶의 질을 높이는 기술, 펨테크', '금융, 범죄로부터 국민을 보호하라', '성과를 만드는 팀의 비밀, 심리적 안전감']",KB지식비타민_20160502_지난 10년 글로벌 은행의 국가별 수익성 변화.pdf,다운완료
pdf테이블2.csv,438,경영환경,알파고의 딥 러닝(Deep Learning) 금융업 적용 사례,김회민,2016-05-02,7851,/kbresearch/vitamin/reportView.do?vitaminId=1003274,"['여성의 건강과 삶의 질을 높이는 기술, 펨테크', '금융, 범죄로부터 국민을 보호하라', '성과를 만드는 팀의 비밀, 심리적 안전감']",KB지식비타민_20160425_알파고의 딥러닝(Deep Learning) 금융업 적용 사례.pdf,다운완료
pdf테이블2.csv,439,경영환경,스마트홈 시장의 성장과 보험사의 연계 사례,김도연,2016-04-29,5201,/kbresearch/vitamin/reportView.do?vitaminId=1003273,"['여성의 건강과 삶의 질을 높이는 기술, 펨테크', '금융, 범죄로부터 국민을 보호하라', '성과를 만드는 팀의 비밀, 심리적 안전감']",KB지식비타민_20160427_스마트홈 시장의 성장과 보험사의 연계사례.pdf,다운완료
pdf테이블2.csv,440,부동산,전세 제도의 이해와 시장 변화,이종아,2016-04-22,5045,/kbresearch/vitamin/reportView.do?vitaminId=1003271,"['주택 임대차 계약 후 필수 코스 전월세신고제', '주택인 듯 주택 아닌 주택 같은 오피스텔', '집값이 오르면 소비도 늘어날까?']",KB지식비타민_20160420_전세 제도의 이해와 시장 변화_최종1.pdf,다운완료
pdf테이블2.csv,432,부동산,"미래형 주거형태, 제로에너지 주택",손은경,2016-05-23,4744,/kbresearch/vitamin/reportView.do?vitaminId=1003294,"['주택 임대차 계약 후 필수 코스 전월세신고제', '주택인 듯 주택 아닌 주택 같은 오피스텔', '집값이 오르면 소비도 늘어날까?']",KB지식비타민_20160523_미래형주거형태 제로에너지주택.pdf,다운완료
pdf테이블2.csv,433,경영환경,간소한 혁신(Frugal Innovation)과 금융업의 대응,김예구,2016-05-20,7264,/kbresearch/vitamin/reportView.do?vitaminId=1003293,"['여성의 건강과 삶의 질을 높이는 기술, 펨테크', '금융, 범죄로부터 국민을 보호하라', '성과를 만드는 팀의 비밀, 심리적 안전감']",KB지식비타민_20160518_간소한 혁신(Frugal Innovation)과 금융업의 대응.pdf,다운완료
pdf테이블2.csv,434,기타,모바일 메신저의 챗봇(Chatbot) 도입과 시사점,강서진,2016-05-13,8145,/kbresearch/vitamin/reportView.do?vitaminId=1003286,"['벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라', '북한의 순환경제정책과 재자원화', '자가면역질환의 이해와 관리 방안']",KB지식비타민_20160516_모바일 메신저의 챗봇 도입과 시사점_최종.pdf,다운완료
pdf테이블2.csv,435,기타,"MOOC, IT기술과 교육의 융합",김동우,2016-05-11,5070,/kbresearch/vitamin/reportView.do?vitaminId=1003284,"['벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라', '북한의 순환경제정책과 재자원화', '자가면역질환의 이해와 관리 방안']",KB지식비타민_20160509_MOOC / IT기술과 교육의 융합.최종.pdf,다운완료
pdf테이블2.csv,436,부동산,중소형빌딩 시장 거래동향 및 리스크 요인 점검,서동한,2016-05-09,4369,/kbresearch/vitamin/reportView.do?vitaminId=1003283,"['주택 임대차 계약 후 필수 코스 전월세신고제', '주택인 듯 주택 아닌 주택 같은 오피스텔', '집값이 오르면 소비도 늘어날까?']",KB지식비타민_20160504_중소형빌딩 시장 거래동향 및 리스크 요인점검.pdf,다운완료
pdf테이블2.csv,437,경영환경,지난 10년 글로벌 은행의 국가별 수익성 변화,김주환,2016-05-04,5163,/kbresearch/vitamin/reportView.do?vitaminId=1003276,"['여성의 건강과 삶의 질을 높이는 기술, 펨테크', '금융, 범죄로부터 국민을 보호하라', '성과를 만드는 팀의 비밀, 심리적 안전감']",KB지식비타민_20160502_지난 10년 글로벌 은행의 국가별 수익성 변화.pdf,다운완료
pdf테이블2.csv,438,경영환경,알파고의 딥 러닝(Deep Learning) 금융업 적용 사례,김회민,2016-05-02,7851,/kbresearch/vitamin/reportView.do?vitaminId=1003274,"['여성의 건강과 삶의 질을 높이는 기술, 펨테크', '금융, 범죄로부터 국민을 보호하라', '성과를 만드는 팀의 비밀, 심리적 안전감']",KB지식비타민_20160425_알파고의 딥러닝(Deep Learning) 금융업 적용 사례.pdf,다운완료
pdf테이블2.csv,439,경영환경,스마트홈 시장의 성장과 보험사의 연계 사례,김도연,2016-04-29,5201,/kbresearch/vitamin/reportView.do?vitaminId=1003273,"['여성의 건강과 삶의 질을 높이는 기술, 펨테크', '금융, 범죄로부터 국민을 보호하라', '성과를 만드는 팀의 비밀, 심리적 안전감']",KB지식비타민_20160427_스마트홈 시장의 성장과 보험사의 연계사례.pdf,다운완료
pdf테이블2.csv,440,부동산,전세 제도의 이해와 시장 변화,이종아,2016-04-22,5045,/kbresearch/vitamin/reportView.do?vitaminId=1003271,"['주택 임대차 계약 후 필수 코스 전월세신고제', '주택인 듯 주택 아닌 주택 같은 오피스텔', '집값이 오르면 소비도 늘어날까?']",KB지식비타민_20160420_전세 제도의 이해와 시장 변화_최종1.pdf,다운완료
pdf테이블2.csv,451,기타,사후면세 즉시환급제 도입과 관련 서비스의 성장,박성수,2016-04-08,5766,/kbresearch/vitamin/reportView.do?vitaminId=1003260,"['벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라', '북한의 순환경제정책과 재자원화', '자가면역질환의 이해와 관리 방안']",(2016-26)KB지식비타민_20160406_사후면세 즉시환급제 도입과 관련 서비스의 성장.pdf,다운완료
pdf테이블2.csv,452,자산관리,고령화 사회의 Aging in place를 위한 주거지원체계 트렌드,황원경,2016-04-06,7523,/kbresearch/vitamin/reportView.do?vitaminId=1003255,"['화상통화를 활용한 비대면 보험 모집 해외 사례와 시사점', '아트테크(Art+재테크) 활성화에 따른 예술품보험의 필요성 증대', '반복되는 전염병 위험과 보험업의 역할']",KB지식비타민 16-25호_고령화 사회의 Aging in place를 위한 주거지원체계 트렌드_등재용.pdf,다운완료
pdf테이블2.csv,453,산업분석,해운업 M&A에 따른 글로벌 얼라이언스의 지각 변동,장경석,2016-04-01,4897,/kbresearch/vitamin/reportView.do?vitaminId=1003253,"['인공지능 시대 새로운 성장 동력 HBM(고대역폭메모리)', '발전기 없는 발전소, 가상발전소(VPP)', '해상풍력, 풍력발전의 새로운 도전']",KB지식비타민_20160330_해운얼라이언스(최종).pdf,다운완료
pdf테이블2.csv,455,거시/경제,엔화 강세 전환이 일본 경제에 미치는 영향,김가현,2016-03-23,5833,/kbresearch/vitamin/reportView.do?vitaminId=1003250,"['코로나19 이후 주요국 고용과 경기회복 경로', '구매관리자지수의 이해와 활용 - 미국, 유럽, 중국의 예를 중심으로', '코로나19 이후 한국경제의 양극화 심화와 과제']",KB지식비타민_20160321_엔화 강세 전환이 일본 경제에 미치는 영향 (최종).pdf,다운완료
pdf테이블2.csv,456,자산관리,효율적 자산관리 수단으로서 ETN의 활용,이윤재,2016-03-18,4436,/kbresearch/vitamin/reportView.do?vitaminId=1003249,"['화상통화를 활용한 비대면 보험 모집 해외 사례와 시사점', '아트테크(Art+재테크) 활성화에 따른 예술품보험의 필요성 증대', '반복되는 전염병 위험과 보험업의 역할']",KB지식비타민_20160316_효율적 자산관리 수단으로서 ETN의 활용.pdf,다운완료
pdf테이블2.csv,457,해외경제,최근 중국의 자본유출과 금융시장 영향,이정진,2016-03-16,4154,/kbresearch/vitamin/reportView.do?vitaminId=1003245,"['중국 그린본드 시장 현황과 향후 전망', '100년 기업 육성을 위한 일본 정부와 은행들의 노력', '중국, 한국과의 FTA를 통해 내다본 캄보디아의 앞날']",KB지식비타민_20160314_최근 중국의 자본 유출과 금융시장 영향_.pdf,다운완료
pdf테이블2.csv,458,거시/경제,미국의 경제상황과 금리인상 여건 변화,이승훈,2016-03-11,5695,/kbresearch/vitamin/reportView.do?vitaminId=1003242,"['코로나19 이후 주요국 고용과 경기회복 경로', '구매관리자지수의 이해와 활용 - 미국, 유럽, 중국의 예를 중심으로', '코로나19 이후 한국경제의 양극화 심화와 과제']",KB지식비타민_20160307_미국의 경제 상황과 금리인상 여건 변화.pdf,다운완료
